trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
77,False,"{'a': 0.9258898536064953, 'e': 0.46301306831122807}",30,3,-67.44148035270179,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 1}",1
78,False,"{'a': 0.9249644265435393, 'e': 0.45840601130522357}",25,8,10.060457632804171,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
79,False,"{'a': 0.9240399244450868, 'e': 0.45384479528235583}",30,13,8.10507625971646,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.9231163463866358, 'e': 0.44932896411722156}",20,3,-17.873486755129555,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.922193691444608, 'e': 0.4448580662229411}",25,3,-15.735451192180356,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 0}",1
82,False,"{'a': 0.9212719586963487, 'e': 0.44043165450599925}",20,2,-102.8018406828608,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 2}",1
83,False,"{'a': 0.9203511472201247, 'e': 0.43604928632153556}",25,13,10.072171017931767,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.9194312560951247, 'e': 0.43171052342907973}",20,0,-150.6316036360919,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
85,False,"{'a': 0.9185122844014574, 'e': 0.4274149319487267}",25,0,-105.5412200387257,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
86,False,"{'a': 0.9175942312201509, 'e': 0.4231620823177488}",35,0,-79.04878508806654,"{0: 27, 1: 2, 2: 4, 3: 1, 4: 1}",0
87,False,"{'a': 0.9166770956331523, 'e': 0.418951549247639}",35,0,-40.008522726431984,"{0: 30, 1: 0, 2: 3, 3: 2, 4: 0}",0
88,False,"{'a': 0.9157608767233256, 'e': 0.4147829116815814}",30,12,-40.92309783370953,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
