Date,Open,High,Low,Adj Close,Volume,Prev Day OI,Prev Day Volume
2014-01-15,1833,1845.75,1831.5,1841.5,,2868227,1595178
2014-01-15,1826.5,1839,1825,1835,,14665,3899
2014-01-15,1824.5,1832.5,1819.25,1829,,2462,72
2014-01-15,1819,1824.5,1819,1822.25,,155,32
2014-01-16,1841.5,1843.75,1834.5,1836.25,,2875586,1260095
2014-01-16,1834.75,1836.75,1828,1829.5,,15072,3604
2014-01-16,1830.5,1830.5,1822,1823.5,,2465,21
2014-01-16,1819,1822.5,1816.75,1817,,155,4
2014-01-17,1838,1842.75,1829.25,1834.25,,2878637,952497
2014-01-17,1831,1836,1822.75,1827.75,,15626,3212
2014-01-17,1823.75,1829.25,1816.75,1821.5,,2467,23
2014-01-17,1815,1819.25,1811.75,1815,,155,7
2014-01-21,1834,1844,1826.25,1838.5,,2855526,1182782
2014-01-21,1827,1837.25,1819.75,1831.75,,15980,2466
2014-01-21,1822.75,1830.75,1814,1825.75,,2468,27
2014-01-21,1821,1825,1808.5,1819,,154,6
2014-01-22,1837.5,1843.25,1834.75,1838.5,,2852205,1329662
2014-01-22,1830.25,1836.25,1828.25,1832,,16613,3588
2014-01-22,1823.75,1830,1822.25,1826,,2465,24
2014-01-22,1819.25,1822.25,1817.25,1819.25,,159,6
2014-01-23,1839,1844,1813.75,1824.25,,2848291,941604
2014-01-23,1833,1837.25,1807.5,1817.5,,17386,2947
2014-01-23,1827.75,1830.75,1801.25,1811.25,,2512,58
2014-01-23,1811,1821.5,1796.25,1804.5,,159,0
2014-01-24,1824,1828,1780,1782,,2873168,1815516
2014-01-24,1817.25,1821.25,1773.25,1775.25,,19094,5689
2014-01-24,1812.25,1814.5,1767.75,1769,,2551,59
2014-01-24,1782,1806.75,1762,1762.5,,161,10
2014-01-27,1781.75,1792,1767,1775.75,,2894357,2566321
2014-01-27,1774.25,1785.25,1760.5,1768.75,,20980,9942
2014-01-27,1763,1778.25,1754.5,1762.5,,2906,593
2014-01-27,1766,1766.5,1753.25,1756,,165,9
2014-01-28,1771.25,1797,1771,1788.25,,2881669,2776036
2014-01-28,1767.25,1790,1767,1781.5,,21713,9069
2014-01-28,1763,1783.5,1763,1775,,2808,202
2014-01-28,1764,1769.75,1762,1768.5,,168,9
2014-01-29,1796,1801.25,1764,1771.25,,2884678,1726338
2014-01-29,1788.75,1794.5,1757.5,1764.5,,24338,7894
2014-01-29,1786,1787.5,1751.25,1758,,2817,36
2014-01-29,1761,1775.25,1751,1751.5,,169,5
2014-01-30,1770,1793.75,1767.75,1781.25,,2915163,2740741
2014-01-30,1765.5,1786.75,1761,1774.5,,27911,10677
2014-01-30,1760,1780,1755,1768,,2829,145
2014-01-30,1756.25,1771.25,1749.5,1761.5,,174,16
2014-01-31,1783.5,1788.25,1761.25,1776.5,,2882901,1824579
2014-01-31,1776.75,1781.25,1754.75,1769.75,,31275,6900
2014-01-31,1769.5,1774.5,1748.25,1763.25,,2838,128
2014-01-31,1760.75,1760.75,1756,1756,,174,39
2014-02-03,1777.5,1783.75,1732.25,1732.75,,2910899,2389820
2014-02-03,1772,1776.75,1725.5,1726,,33264,6986
2014-02-03,1760.75,1770,1719.25,1719.25,,2837,346
2014-02-03,1745.75,1761.5,1712,1712,,171,7
2014-02-04,1738.25,1753.5,1734,1743.75,,2974534,3026524
2014-02-04,1730,1746.5,1727.25,1736.75,,36815,10503
2014-02-04,1725,1739.5,1721.5,1730.25,,2882,135
2014-02-04,1720,1730.5,1720,1723,,175,15
2014-02-05,1744.25,1750.75,1732,1744,,2944236,2325416
2014-02-05,1739,1743.5,1725.25,1737,,38663,6532
2014-02-05,1721.25,1736.75,1718.75,1730.25,,2888,59
2014-02-05,1723,1727.75,1713.5,1723,,174,2
2014-02-06,1744.75,1769.75,1744,1766.5,,2948425,2075514
2014-02-06,1739.25,1762.75,1737.25,1759.5,,42460,9093
2014-02-06,1734,1755.75,1732.5,1752.75,,2876,65
2014-02-06,1736,1747,1736,1745.75,,176,4
2014-02-07,1768,1794,1758.25,1793.5,,2948744,1739245
2014-02-07,1761,1786.75,1751.75,1786.5,,46811,8726
2014-02-07,1758.5,1779.75,1745.5,1779.5,,2974,258
2014-02-07,1752.5,1772.5,1745,1772.5,,175,10
2014-02-10,1793,1796,1786.25,1794.75,,2981889,2344919
2014-02-10,1786.5,1788.75,1779.5,1787.5,,49324,6399
2014-02-10,1777.25,1781.25,1773.25,1780.75,,2881,190
2014-02-10,1771,1773.75,1767.5,1773.75,,174,24
2014-02-11,1795.25,1819.5,1794.25,1813.5,,2990620,1148560
2014-02-11,1787.75,1812.25,1787.5,1806.5,,53880,6532
2014-02-11,1783.5,1805.25,1783.5,1799.75,,2896,902
2014-02-11,1778,1796.5,1778,1792.5,,173,2
2014-02-12,1813.25,1823.25,1811.25,1817,,3016462,1764385
2014-02-12,1806.5,1816.25,1804.5,1810,,58758,9466
2014-02-12,1797.75,1809,1797.75,1803.5,,2909,80
2014-02-12,1790.75,1802,1790.75,1796.25,,170,10
2014-02-13,1816.75,1827,1802.25,1824.25,,3033223,1385941
2014-02-13,1809.25,1820,1795.5,1817.25,,61508,13151
2014-02-13,1799.75,1813,1788.75,1810.5,,2727,2351
2014-02-13,1794.5,1803.5,1783.75,1803.5,,171,3
2014-02-14,1823.75,1838.75,1816,1835,,3053239,1645236
2014-02-14,1816,1831.75,1809.25,1828,,64458,5985
2014-02-14,1811,1824.75,1802.5,1821.25,,2745,158
2014-02-14,1797.5,1815,1797.5,1814,,173,3
2014-02-18,1833.5,1840.25,1831.5,1837.5,,3062413,1365228
2014-02-18,1827.25,1833.25,1824.5,1830.5,,68130,6600
2014-02-18,1823.5,1826.25,1818.25,1823.75,,2762,163
2014-02-18,1814,1816.5,1813.75,1816.5,,170,8
2014-02-19,1837.25,1844.5,1823.25,1825.5,,3091043,1210508
2014-02-19,1830.75,1837.5,1816.75,1818.5,,69794,5490
2014-02-19,1819,1830.5,1810,1811.75,,2762,35
2014-02-19,1804.5,1804.5,1804.5,1804.5,,167,8
2014-02-20,1826,1840.25,1817.25,1836.25,,3119786,1771087
2014-02-20,1820.75,1833.25,1810.5,1829.25,,72426,7246
2014-02-20,1805.5,1826.25,1804,1822.5,,2746,145
2014-02-20,1803.25,1820,1802.25,1815,,168,1
2014-02-21,1836,1844,1832.75,1834.25,,3137291,1608588
2014-02-21,1829,1836.75,1826,1827.25,,75854,8687
2014-02-21,1825.25,1829.75,1819.5,1820.5,,2758,98
2014-02-21,1813,1813,1813,1813,,169,17
2014-02-24,1835.25,1856.75,1829.25,1846,,3158062,1316655
2014-02-24,1828.25,1849.5,1822.5,1839,,77576,7686
2014-02-24,1820,1842.5,1816.5,1832,,2765,79
2014-02-24,1821,1833.75,1810,1824.75,,170,1
2014-02-25,1844.75,1851,1837.25,1846.25,,3131431,1612323
2014-02-25,1838.25,1843.75,1830.5,1839.25,,78944,6691
2014-02-25,1831.75,1836.75,1824,1832.5,,2787,70
2014-02-25,1828,1828,1818,1825,,168,10
2014-02-26,1847.5,1853.25,1838,1842,,3108523,1566204
2014-02-26,1840.25,1846,1831.25,1835,,79519,8161
2014-02-26,1833,1839.25,1824.75,1828.25,,2777,72
2014-02-26,1829.5,1830.25,1818.75,1820.75,,163,7
2014-02-27,1843.75,1855.75,1832.75,1854,,3111778,1464320
2014-02-27,1836.5,1848.5,1826,1847,,80602,4027
2014-02-27,1826.25,1841.25,1819.5,1840,,2791,29
2014-02-27,1825,1832.75,1817.5,1832.75,,164,5
2014-02-28,1854.5,1866.5,1845.25,1857.5,,3122222,1615828
2014-02-28,1847.75,1859.25,1838.5,1850.5,,89106,15840
2014-02-28,1840.5,1852.5,1832,1843.75,,2588,376
2014-02-28,1831.5,1843.5,1828,1836.5,,166,17
2014-03-03,1846,1849.5,1832.25,1843,,3110444,2106508
2014-03-03,1840,1842.5,1825,1836,,95443,19259
2014-03-03,1830.25,1835.75,1818.75,1829.25,,2595,153
2014-03-03,1822,1822,1822,1822,,163,5
2014-03-04,1843.75,1874.75,1843.5,1871.5,,3165575,2376689
2014-03-04,1837.5,1867.75,1836.75,1864.5,,109259,31822
2014-03-04,1831.25,1859.75,1831.25,1857.75,,2608,383
2014-03-04,1850,1850.5,1850,1850.5,,164,1
